number,title,depth,part,chapter,start_pdf_page,end_pdf_page_hierarchical,end_pdf_page_atomic,hierarchical_file,atomic_file,hierarchical_utf8_bytes,atomic_utf8_bytes
12.5,Skinning and Matrix Palette Generation,2,3,12,769,774,769,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.05_skinning_and_matrix_palette_generation.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.05_skinning_and_matrix_palette_generation.md,11586,596
12.5.1,Per-Vertex Skinning Information,3,3,12,769,769,769,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.05.01_per_vertex_skinning_information.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.05.01_per_vertex_skinning_information.md,1907,1907
12.5.2,The Mathematics of Skinning,3,3,12,770,774,774,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.05.02_the_mathematics_of_skinning.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.05.02_the_mathematics_of_skinning.md,9349,9349
12.6,Animation Blending,2,3,12,774,793,774,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.06_animation_blending.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.06_animation_blending.md,39588,1686
12.6.1,LERP Blending,3,3,12,774,776,776,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.06.01_lerp_blending.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.06.01_lerp_blending.md,3243,3243
12.6.2,Applications of LERP Blending,3,3,12,776,782,782,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.06.02_applications_of_lerp_blending.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.06.02_applications_of_lerp_blending.md,12615,12615
12.6.3,Complex LERP Blends,3,3,12,782,786,786,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.06.03_complex_lerp_blends.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.06.03_complex_lerp_blends.md,7483,7483
12.6.4,Partial-Skeleton Blending,3,3,12,786,788,788,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.06.04_partial_skeleton_blending.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.06.04_partial_skeleton_blending.md,3535,3535
12.6.5,Additive Blending,3,3,12,788,791,791,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.06.05_additive_blending.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.06.05_additive_blending.md,8282,8282
12.6.6,Applications of Additive Blending,3,3,12,791,793,793,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.06.06_applications_of_additive_blending.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.06.06_applications_of_additive_blending.md,3911,3911
12.7,Post-Processing,2,3,12,793,796,793,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.07_post_processing.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.07_post_processing.md,7430,631
12.7.1,Procedural Animations,3,3,12,794,794,794,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.07.01_procedural_animations.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.07.01_procedural_animations.md,2395,2395
12.7.2,Inverse Kinematics,3,3,12,794,796,796,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.07.02_inverse_kinematics.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.07.02_inverse_kinematics.md,3614,3614
12.7.3,Rag Dolls,3,3,12,796,796,796,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.07.03_rag_dolls.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.07.03_rag_dolls.md,1296,1296
12.8,Compression Techniques,2,3,12,796,803,797,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.08_compression_techniques.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.08_compression_techniques.md,15418,1493
12.8.1,Channel Omission,3,3,12,797,797,797,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.08.01_channel_omission.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.08.01_channel_omission.md,1496,1496
12.8.2,Quantization,3,3,12,797,801,801,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.08.02_quantization.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.08.02_quantization.md,7903,7903
12.8.3,Sampling Frequency and Key Omission,3,3,12,801,802,802,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.08.03_sampling_frequency_and_key_omission.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.08.03_sampling_frequency_and_key_omission.md,1698,1698
12.8.4,Curve-Based Compression,3,3,12,802,802,802,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.08.04_curve_based_compression.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.08.04_curve_based_compression.md,1242,1242
12.8.5,Wavelet Compression,3,3,12,802,803,803,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.08.05_wavelet_compression.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.08.05_wavelet_compression.md,1490,1490
12.8.6,Selective Loading and Streaming,3,3,12,803,803,803,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.08.06_selective_loading_and_streaming.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.08.06_selective_loading_and_streaming.md,1172,1172
